기준년월,행정동코드,행정동명,연령별,월별 일평균 주거인구수 평균,월별 일평균 직장인구수 평균,월별 일평균 방문인구수 평균
2025-12,2617060000,동구 수정5동,60대,"18,567",774,"2,793"
2025-12,2617060000,동구 수정5동,기타,"31,726",126,"2,356"
2025-12,2617064500,동구 좌천동,20대,"5,113",640,"4,321"
2025-12,2617064500,동구 좌천동,20대미만,"2,016",842,"3,287"
2025-12,2617064500,동구 좌천동,30대,"5,286",873,"5,868"
2025-12,2617064500,동구 좌천동,40대,"5,008","1,236","5,808"
2025-12,2617064500,동구 좌천동,50대,"9,784","1,781","8,333"
2025-12,2617064500,동구 좌천동,60대,"13,301","1,333","9,003"
2025-12,2617064500,동구 좌천동,기타,"17,608",586,"10,224"
2025-12,2617065000,동구 범일1동,20대,"12,315","1,620","4,484"
2025-12,2617065000,동구 범일1동,20대미만,"6,944",659,"1,938"
2025-12,2617065000,동구 범일1동,30대,"14,549","1,826","5,484"
2025-12,2617065000,동구 범일1동,40대,"16,869","2,597","5,121"
2025-12,2617065000,동구 범일1동,50대,"25,270","3,948","6,649"
2025-12,2617065000,동구 범일1동,60대,"41,941","3,488","7,870"
2025-12,2617065000,동구 범일1동,기타,"53,668","1,034","6,765"
2025-12,2617066000,동구 범일2동,20대,"11,324","9,007","13,045"
2025-12,2617066000,동구 범일2동,20대미만,"7,687",805,"4,545"
2025-12,2617066000,동구 범일2동,30대,"14,244","16,355","18,621"
2025-12,2617066000,동구 범일2동,40대,"14,168","20,306","19,984"
2025-12,2617066000,동구 범일2동,50대,"18,684","23,012","26,927"
2025-12,2617066000,동구 범일2동,60대,"20,653","15,304","31,235"
2025-12,2617066000,동구 범일2동,기타,"20,856","5,446","19,371"
2025-12,2617068000,동구 범일5동,20대,"11,182","2,286","8,663"
2025-12,2617068000,동구 범일5동,20대미만,"11,218",694,"3,032"
2025-12,2617068000,동구 범일5동,30대,"31,272","3,405","10,638"
2025-12,2617068000,동구 범일5동,40대,"23,572","4,583","10,562"
2025-12,2617068000,동구 범일5동,50대,"19,917","5,191","13,599"
2025-12,2617068000,동구 범일5동,60대,"16,983","4,343","14,524"
2025-12,2617068000,동구 범일5동,기타,"18,657","2,981","13,101"
2025-12,2620053000,영도구 남항동,20대,"13,281","4,503","12,261"
2025-12,2620053000,영도구 남항동,20대미만,"10,276",528,"6,502"
2025-12,2620053000,영도구 남항동,30대,"14,236","5,861","13,741"
2025-12,2620053000,영도구 남항동,40대,"19,005","8,134","16,874"
2025-12,2620053000,영도구 남항동,50대,"30,068","11,171","22,559"
2025-12,2620053000,영도구 남항동,60대,"41,144","9,201","25,819"
2025-12,2620053000,영도구 남항동,기타,"57,095","2,719","20,166"
2025-12,2620054000,영도구 영선1동,20대,"1,046",251,594
2025-12,2620054000,영도구 영선1동,20대미만,"1,166",10,539
2025-12,2620054000,영도구 영선1동,30대,925,304,832
2025-12,2620054000,영도구 영선1동,40대,"1,988",581,"1,180"
2025-12,2620054000,영도구 영선1동,50대,"2,861","1,062","2,698"
2025-12,2620054000,영도구 영선1동,60대,"4,967",998,"3,209"
2025-12,2620054000,영도구 영선1동,기타,"5,680",419,"2,496"
2025-12,2620055000,영도구 영선2동,20대,"7,685","1,239","3,643"
2025-12,2620055000,영도구 영선2동,20대미만,"7,461","1,999","2,840"
2025-12,2620055000,영도구 영선2동,30대,"9,471",961,"3,010"
2025-12,2620055000,영도구 영선2동,40대,"12,329","1,650","3,537"
2025-12,2620055000,영도구 영선2동,50대,"19,067","2,114","5,397"
2025-12,2620055000,영도구 영선2동,60대,"29,252","1,562","5,443"
2025-12,2620055000,영도구 영선2동,기타,"39,945",628,"6,253"
2025-12,2620058500,영도구 신선동,20대,"5,475",632,"1,384"
2025-12,2620058500,영도구 신선동,20대미만,"3,840","3,182","2,217"
2025-12,2620058500,영도구 신선동,30대,"6,239",810,"1,608"
2025-12,2620058500,영도구 신선동,40대,"11,244","1,435","2,424"
2025-12,2620058500,영도구 신선동,50대,"17,916","1,848","3,839"
2025-12,2620058500,영도구 신선동,60대,"28,044","1,402","5,033"
2025-12,2620058500,영도구 신선동,기타,"43,305",322,"3,767"
2025-12,2620059000,영도구 봉래1동,20대,"7,333",957,"4,050"
2025-12,2620059000,영도구 봉래1동,20대미만,"7,618",41,"2,120"
2025-12,2620059000,영도구 봉래1동,30대,"10,009","1,353","5,147"
2025-12,2620059000,영도구 봉래1동,40대,"10,452","2,050","6,234"
2025-12,2620059000,영도구 봉래1동,50대,"13,539","2,994","8,101"
2025-12,2620059000,영도구 봉래1동,60대,"18,274","3,173","8,471"
2025-12,2620059000,영도구 봉래1동,기타,"28,565","1,195","6,767"
2025-12,2620060500,영도구 봉래2동,20대,"7,563","1,014","2,684"
2025-12,2620060500,영도구 봉래2동,20대미만,"5,639",743,"2,354"
2025-12,2620060500,영도구 봉래2동,30대,"9,515","1,382","3,056"
2025-12,2620060500,영도구 봉래2동,40대,"12,362","3,007","3,983"
2025-12,2620060500,영도구 봉래2동,50대,"18,045","2,939","5,616"
2025-12,2620060500,영도구 봉래2동,60대,"22,348","2,069","6,373"
2025-12,2620060500,영도구 봉래2동,기타,"35,212",830,"4,794"
2025-12,2620063000,영도구 청학1동,20대,"4,255","1,209","2,154"
2025-12,2620063000,영도구 청학1동,20대미만,"5,866",476,"1,347"
2025-12,2620063000,영도구 청학1동,30대,"7,259","1,214","2,727"
2025-12,2620063000,영도구 청학1동,40대,"10,463","3,973","4,330"
2025-12,2620063000,영도구 청학1동,50대,"14,260","4,509","5,923"
2025-12,2620063000,영도구 청학1동,60대,"18,155","2,659","5,706"
2025-12,2620063000,영도구 청학1동,기타,"28,465",808,"5,132"
2025-12,2620064000,영도구 청학2동,20대,"14,277","2,487","5,611"
2025-12,2620064000,영도구 청학2동,20대미만,"16,797",409,"3,579"
2025-12,2620064000,영도구 청학2동,30대,"22,297","4,313","6,493"
2025-12,2620064000,영도구 청학2동,40대,"29,869","5,826","8,180"
2025-12,2620064000,영도구 청학2동,50대,"46,123","7,358","9,912"
2025-12,2620064000,영도구 청학2동,60대,"53,013","4,946","11,891"
2025-12,2620064000,영도구 청학2동,기타,"67,195","1,483","8,322"
2025-12,2620065000,영도구 동삼1동,20대,"40,219","7,770","9,869"
2025-12,2620065000,영도구 동삼1동,20대미만,"46,541","4,935","6,290"
2025-12,2620065000,영도구 동삼1동,30대,"40,053","9,425","10,274"
2025-12,2620065000,영도구 동삼1동,40대,"57,071","11,085","12,548"
2025-12,2620065000,영도구 동삼1동,50대,"80,108","12,728","16,125"
2025-12,2620065000,영도구 동삼1동,60대,"102,028","7,250","15,873"
2025-12,2620065000,영도구 동삼1동,기타,"124,148","1,450","11,411"
2025-12,2620066000,영도구 동삼2동,20대,"22,043","7,819","12,469"
2025-12,2620066000,영도구 동삼2동,20대미만,"12,169","1,311","9,055"
2025-12,2620066000,영도구 동삼2동,30대,"6,363","2,543","10,053"
2025-12,2620066000,영도구 동삼2동,40대,"11,003","3,497","12,958"
2025-12,2620066000,영도구 동삼2동,50대,"11,995","3,799","15,127"
2025-12,2620066000,영도구 동삼2동,60대,"13,633","1,559","15,009"
2025-12,2620066000,영도구 동삼2동,기타,"18,031",370,"9,066"
2025-12,2620067000,영도구 동삼3동,20대,"7,697","1,299","3,977"
2025-12,2620067000,영도구 동삼3동,20대미만,"7,696","1,556","3,337"
2025-12,2620067000,영도구 동삼3동,30대,"9,224","1,583","4,441"
2025-12,2620067000,영도구 동삼3동,40대,"13,942","2,473","5,488"
2025-12,2620067000,영도구 동삼3동,50대,"22,031","3,053","7,506"
2025-12,2620067000,영도구 동삼3동,60대,"36,901","2,431","7,889"
2025-12,2620067000,영도구 동삼3동,기타,"48,014",817,"6,070"
2025-12,2623051000,부산진구 부전1동,20대,"51,094","16,738","40,292"
2025-12,2623051000,부산진구 부전1동,20대미만,"9,251","1,169","9,612"
2025-12,2623051000,부산진구 부전1동,30대,"44,788","19,757","34,087"
2025-12,2623051000,부산진구 부전1동,40대,"25,169","17,626","28,147"
